Date,Open,Close,High,Low,Volume
23-Jul-18,190.679993,191.610001,191.960007,189.559998,15989400
24-Jul-18,192.449997,193,193.660004,192.050003,18697900
25-Jul-18,193.059998,194.820007,194.850006,192.429993,16709900
26-Jul-18,194.610001,194.210007,195.960007,193.610001,19076000
27-Jul-18,194.990005,190.979996,195.190002,190.100006,24024000
30-Jul-18,191.899994,189.910004,192.199997,189.070007,21029500
31-Jul-18,190.300003,190.289993,192.139999,189.339996,39373000
1-Aug-18,199.130005,201.5,201.759995,197.309998,67935700
2-Aug-18,200.580002,207.389999,208.380005,200.350006,62404000
3-Aug-18,207.029999,207.990005,208.740005,205.479996,33447400
6-Aug-18,208,209.070007,209.25,207.070007,25425400
7-Aug-18,209.320007,207.110001,209.5,206.759995,25587400
8-Aug-18,206.050003,207.25,207.809998,204.520004,22525500
9-Aug-18,209.529999,208.880005,209.779999,207.199997,23492600
10-Aug-18,207.360001,207.529999,209.100006,206.669998,24611200
13-Aug-18,209.309998,208.869995,210.949997,207.699997,25890900
14-Aug-18,210.160004,209.75,210.559998,208.259995,20748000
15-Aug-18,209.220001,210.240005,210.740005,208.330002,28807600
16-Aug-18,211.75,213.320007,213.809998,211.470001,28500400
17-Aug-18,213.440002,217.580002,217.949997,213.160004,35427000
20-Aug-18,218.100006,215.460007,219.179993,215.110001,30287700
21-Aug-18,216.800003,215.039993,217.190002,214.029999,26159800
22-Aug-18,214.100006,215.050003,216.360001,213.839996,19018100
23-Aug-18,214.649994,215.490005,217.050003,214.600006,18883200
24-Aug-18,216.600006,216.160004,216.899994,215.110001,18476400
27-Aug-18,217.149994,217.940002,218.740005,216.330002,20525100
28-Aug-18,219.009995,219.699997,220.539993,218.919998,22776800
29-Aug-18,220.149994,222.979996,223.490005,219.410004,27254800
30-Aug-18,223.25,225.029999,228.259995,222.399994,48793800
31-Aug-18,226.509995,227.630005,228.869995,226,43340100
4-Sep-18,228.410004,228.360001,229.179993,226.630005,27390100
5-Sep-18,228.990005,226.869995,229.669998,225.100006,33333000
6-Sep-18,226.229996,223.100006,227.350006,221.300003,34290000
7-Sep-18,221.850006,221.300003,225.369995,220.710007,37619800
10-Sep-18,220.949997,218.330002,221.850006,216.470001,39516500
11-Sep-18,218.009995,223.850006,224.300003,216.559998,35749000
12-Sep-18,224.940002,221.070007,225,219.839996,49278700
13-Sep-18,223.520004,226.410004,228.350006,222.570007,41706400
14-Sep-18,225.75,223.839996,226.839996,222.520004,31999300
17-Sep-18,222.149994,217.880005,222.949997,217.270004,37195100
18-Sep-18,217.789993,218.240005,221.850006,217.119995,31571700
19-Sep-18,218.5,218.369995,219.619995,215.300003,27123800
20-Sep-18,220.240005,220.029999,222.279999,219.149994,26608800
21-Sep-18,220.779999,217.660004,221.360001,217.289993,96246700
24-Sep-18,216.820007,220.789993,221.259995,216.630005,27693400
25-Sep-18,219.75,222.190002,222.820007,219.699997,24554400
26-Sep-18,221,220.419998,223.75,219.759995,23984700
27-Sep-18,223.820007,224.949997,226.440002,223.539993,30181200
28-Sep-18,224.789993,225.740005,225.839996,224.020004,22929400
1-Oct-18,227.949997,227.259995,229.419998,226.350006,23600800
2-Oct-18,227.25,229.279999,230,226.630005,24788200
3-Oct-18,230.050003,232.070007,233.470001,229.779999,28654800
4-Oct-18,230.779999,227.990005,232.350006,226.729996,32042000
5-Oct-18,227.960007,224.289993,228.410004,220.580002,33580500
8-Oct-18,222.210007,223.770004,224.800003,220.199997,29663900
9-Oct-18,223.639999,226.869995,227.270004,222.25,26891000
10-Oct-18,225.460007,216.360001,226.350006,216.050003,41990600
11-Oct-18,214.520004,214.449997,219.5,212.320007,53124400
12-Oct-18,220.419998,222.110001,222.880005,216.839996,40337900
15-Oct-18,221.160004,217.360001,221.830002,217.270004,30791000
16-Oct-18,218.929993,222.149994,222.990005,216.759995,29184000
17-Oct-18,222.300003,221.190002,222.639999,219.339996,22885400
18-Oct-18,217.860001,216.020004,219.740005,213,32581300
19-Oct-18,218.059998,219.309998,221.259995,217.429993,33078700
22-Oct-18,219.789993,220.649994,223.360001,218.940002,28792100
23-Oct-18,215.830002,222.729996,223.25,214.699997,38767800
24-Oct-18,222.600006,215.089996,224.229996,214.539993,40925500
25-Oct-18,217.710007,219.800003,221.380005,216.75,29855800
26-Oct-18,215.899994,216.300003,220.190002,212.669998,47258400
29-Oct-18,219.190002,212.240005,219.690002,206.089996,45935500
30-Oct-18,211.149994,213.300003,215.179993,209.270004,36660000
31-Oct-18,216.880005,218.860001,220.449997,216.619995,38358900
1-Nov-18,219.050003,222.220001,222.360001,216.809998,58323200
2-Nov-18,209.550003,207.479996,213.649994,205.429993,91328700
5-Nov-18,204.300003,201.589996,204.389999,198.169998,66163700
6-Nov-18,201.919998,203.770004,204.720001,201.690002,31882900
7-Nov-18,205.970001,209.949997,210.059998,204.130005,33424400
8-Nov-18,209.979996,208.490005,210.119995,206.75,25362600
9-Nov-18,205.550003,204.470001,206.009995,202.25,34365800
12-Nov-18,199,194.169998,199.850006,193.789993,51135500
13-Nov-18,191.630005,192.229996,197.179993,191.449997,46882900
14-Nov-18,193.899994,186.800003,194.479996,185.929993,60801000
15-Nov-18,188.389999,191.410004,191.970001,186.899994,46478800
16-Nov-18,190.5,193.529999,194.970001,189.460007,36928300
19-Nov-18,190,185.860001,190.699997,184.990005,41925300
20-Nov-18,178.369995,176.979996,181.470001,175.509995,67825200
21-Nov-18,179.729996,176.779999,180.270004,176.550003,31124200
23-Nov-18,174.940002,172.289993,176.600006,172.100006,23624000
26-Nov-18,174.240005,174.619995,174.949997,170.259995,44998500
27-Nov-18,171.509995,174.240005,174.770004,170.880005,41387400
28-Nov-18,176.729996,180.940002,181.289993,174.929993,46062500
29-Nov-18,182.660004,179.550003,182.800003,177.699997,41770000
30-Nov-18,180.289993,178.580002,180.330002,177.029999,39531500
3-Dec-18,184.460007,184.820007,184.940002,181.210007,40802500
4-Dec-18,180.949997,176.690002,182.389999,176.270004,41344300
6-Dec-18,171.759995,174.720001,174.779999,170.419998,43098400
7-Dec-18,173.490005,168.490005,174.490005,168.300003,42281600
10-Dec-18,165,169.600006,170.089996,163.330002,62026000
11-Dec-18,171.660004,168.630005,171.789993,167,47281700
12-Dec-18,170.399994,169.100006,171.919998,169.020004,35627700
13-Dec-18,170.490005,170.949997,172.570007,169.550003,31898600
14-Dec-18,169,165.479996,169.080002,165.279999,40703700
17-Dec-18,165.449997,163.940002,168.350006,162.729996,44287900
18-Dec-18,165.380005,166.070007,167.529999,164.389999,33841500
19-Dec-18,166,160.889999,167.449997,159.089996,49047300
20-Dec-18,160.399994,156.830002,162.110001,155.300003,64773000
21-Dec-18,156.860001,150.729996,158.160004,149.630005,95744600
